"","pair1","pair2","Yfrom","Yuntil","correlation","observation","p"
"48908","P0211","P0816",2012,2020,0.526100056769383,459,4.91310758514653e-34
"48913","P0211","P0824",2012,2020,0.341583531450467,269,8.91496561310326e-09
"48914","P0211","P0826",2012,2020,0.221497196024821,238,0.000577528642143741
"48919","P0211","P0834",2012,2020,0.424008433280129,364,2.57466156719134e-17
"48925","P0211","P0840",2012,2020,0.485453488088878,318,3.31212580076656e-20
"48932","P0211","P0851",2012,2020,0.223992583779527,345,2.68273715037399e-05
"48935","P0211","P0857",2012,2020,0.17814557906356,282,0.00267915196830773
"48945","P0211","P0869",2012,2020,0.257956910137349,284,1.06895934054649e-05
"48946","P0211","P0871",2012,2020,0.463462182564683,305,1.20098193123511e-17
"48949","P0211","P0874",2012,2020,0.275563248603266,298,1.3597289337237e-06
"48950","P0211","P0876",2012,2020,0.547517227459581,533,5.12241572687627e-43
"48953","P0211","P0879",2012,2020,0.512044251850841,644,2.4954229445612e-44
"48954","P0211","P0880",2012,2020,0.5822831984309,442,1.77620538494703e-41
"48956","P0211","P0882",2012,2020,0.455316634443401,261,9.20595836509881e-15
"48958","P0211","P0884",2012,2020,0.294122386437311,707,1.41686890862318e-15
"48961","P0211","P0887",2012,2020,0.406827506197981,379,1.53635920604401e-16
"48962","P0211","P0889",2017,2020,0.273665642964081,144,0.000903534201244975
"48963","P0211","P0890",2012,2020,0.301297270791994,374,2.74704398232858e-09
"48969","P0211","P0898",2017,2020,0.610632328273518,218,1.14715581842742e-23
"48972","P0211","P0902",2012,2020,0.406984473925608,363,6.48813953594638e-16
"48974","P0211","P0906",2012,2020,0.496062459335938,364,5.23905207773138e-24
"48975","P0211","P0907",2012,2020,0.401762137974726,399,6.5635932123593e-17
"48976","P0211","P0908",2012,2020,0.492639780473283,387,4.70666405047591e-25
"48981","P0211","P0931",2012,2020,0.456410572617931,447,2.20288221890661e-24
"48983","P0211","P0947",2012,2016,0.276023724597835,135,0.00119330603456179
"48985","P0211","P0950",2012,2016,-0.158650937502188,246,0.0127216160893728
"49016","P0211","P1071",2012,2016,0.623529949921773,194,2.7272555712089e-22
"49017","P0211","P1072",2012,2016,0.598511406231979,329,2.36059437528858e-33
"54810","P0236","P0238",2012,2020,0.346456060040418,335,7.00583208868639e-11
"54831","P0236","P0271",2012,2020,0.309149719924775,229,1.84180573986014e-06
"54833","P0236","P0274",2012,2020,0.409787264263271,229,1.09737592544502e-10
"54857","P0236","P0315",2017,2020,0.470992389657902,108,2.68506679868279e-07
"54928","P0236","P0436",2012,2020,0.194960790812426,283,0.000977496545610377
"54970","P0236","P0528",2012,2020,0.419377309929749,485,4.41643572165534e-22
"54971","P0236","P0529",2012,2020,0.202858875472395,352,0.000126923631066132
"54983","P0236","P0560",2012,2020,0.245630132196128,304,1.48024836648406e-05
"54984","P0236","P0561",2012,2020,0.304029451949273,305,6.0742566771776e-08
"54990","P0236","P0576",2012,2020,0.161616092911499,408,0.00105276837771745
"54992","P0236","P0588",2012,2020,0.445057494785293,263,3.37063541406013e-14
"55017","P0236","P0645",2012,2020,0.227455600266,640,5.90521557751343e-09
"55020","P0236","P0654",2012,2020,0.1855318305509,369,0.000339651907766469
"55029","P0236","P0670",2012,2020,0.301874984124688,352,7.51905396573502e-09
"55034","P0236","P0679",2012,2020,0.429477408944488,255,7.21476254557429e-13
"55057","P0236","P0717",2012,2020,0.37779013871969,357,1.48264978157737e-13
"55058","P0236","P0718",2012,2020,0.18586355466451,279,0.00182202421409591
"55062","P0236","P0722",2012,2020,0.443793246852371,243,3.78108157930293e-13
"55077","P0236","P0744",2012,2020,-0.449105554862319,278,3.32664291132212e-15
"55079","P0236","P0746",2012,2020,0.183716791554322,218,0.00652537572717953
"55081","P0236","P0749",2012,2020,0.266287795178589,327,1.03234937042505e-06
"55083","P0236","P0751",2012,2020,0.544042337909752,253,6.82029424641367e-21
"55093","P0236","P0761",2012,2020,0.444046086555791,233,1.11825890968121e-12
"55111","P0236","P0782",2012,2020,0.214392529214732,328,9.09333828374106e-05
"55112","P0236","P0785",2012,2020,0.196454162745181,277,0.00101278069278216
"55113","P0236","P0786",2012,2020,0.487445297820058,367,2.67255075350722e-23
"55118","P0236","P0795",2012,2020,0.498126692356351,286,2.42844028190749e-19
"55119","P0236","P0796",2012,2020,0.581878849713999,292,7.44049740425475e-28
"55120","P0236","P0797",2012,2020,0.462531840480196,270,1.01855512973687e-15
"55121","P0236","P0799",2012,2020,0.460275574479432,250,1.63784627261645e-14
"55122","P0236","P0800",2012,2020,0.514850200143862,404,1.00068957199387e-28
"55124","P0236","P0802",2012,2020,0.232944363441487,426,1.16900710931568e-06
"55125","P0236","P0803",2012,2020,0.129341582635134,248,0.0418368612541655
